key;name;coordinates;capacity;free;open_closed;;
Kreuzbleiche;Parkhaus Kreuzbleiche;47.419874,9.362253;367;0;N/A;Bogenstrasse 10;9000 St. Gallen
Neumarkt;Parkhaus Neumarkt;47.422087,9.370645;360;0;N/A;Vadianstrasse;9000 St. Gallen
Rathaus;Parkhaus Rathaus;47.424599,9.3713;86;0;N/A;Bahnhofstrasse;9000 St. Gallen
Manor;Parkhaus Manor;47.424352,9.37226;120;0;N/A;Hintere Schützengasse;9000 St. Gallen
Oberer Graben;Parkhaus Oberer Graben;47.422466,9.374929;143;0;N/A;Oberer Graben 37;9000 St. Gallen
Raiffeisen;Parkhaus Raiffeisen;47.421107,9.372448;103;0;N/A;Schochengasse;9000 St. Gallen
Einstein;Parkhaus Einstein;47.42046,9.372051;104;0;N/A;Wassergasse;9000 St. Gallen
Unterer Graben;Parkhaus Unterer Graben;47.428377,9.375309;92;0;N/A;Unterer Graben 25;9000 St. Gallen
Burggraben;Parkhaus Burggraben;47.425435,9.378576;295;0;N/A;Burggraben 16;9000 St. Gallen
Spisertor;Parkhaus Spisertor;47.423801,9.379646;52;0;N/A;Moosbruggstrasse 1;9000 St. Gallen
Cityparking Br;Parkhaus Cityparking Brühltor;47.427249,9.37811;443;0;N/A;Torstrasse 12;9000 St. Gallen
Cityparking Stadtpark;Parkhaus Cityparking Stadtpark AZSG;47.430031,9.384775;105;0;N/A;Steinachstrasse 41;9000 St. Gallen
