"key";"name";"coordinates";"capacity";"free";"open_closed"
"Parkgarage am Central";"Parkgarage am Central";"47.375038,8.545678";"n/a";"3";"N/A"
"Parkhaus Accu";"Parkhaus Accu";"47.4149378,8.5407013";"n/a";"158";"N/A"
"Parkhaus Bleicherweg";"Parkhaus Bleicherweg";"47.3675265,8.5354964";"n/a";"18";"N/A"
"Parkhaus Center Eleven";"Parkhaus Center Eleven";"47.3690239,8.5380326";"n/a";"180";"N/A"
"Parkhaus Cityport";"Parkhaus Cityport";"47.4109145,8.5406832";"n/a";"5";"N/A"
"Parkhaus Dorflinde";"Parkhaus Dorflinde";"47.405921,8.553515";"n/a";"0";"closed "
"Parkhaus Feldegg";"Parkhaus Feldegg";"47.3604387,8.5536654";"n/a";"13";"N/A"
"Parkhaus City Parking";"Parkhaus City Parking";"47.3751417,8.5349381";"n/a";"238";"N/A"
"Parkhaus Globus";"Parkhaus Globus";"47.3758534,8.5376674";"n/a";"49";"N/A"
"Parkhaus Hohe Promenade";"Parkhaus Hohe Promenade";"47.3683636,8.5486216";"n/a";"155";"N/A"
"Parkhaus Jelmoli";"Parkhaus Jelmoli";"47.3736328,8.5365887";"n/a";"0";"N/A"
"Parkhaus Jungholz";"Parkhaus Jungholz";"47.414711,8.544246";"n/a";"75";"N/A"
"Parkhaus Max-Bill-Platz";"Parkhaus Max-Bill-Platz";"47.4143852,8.5379604";"n/a";"31";"N/A"
"Parkhaus Messe";"Parkhaus Messe Zurich AG";"47.4135669,8.5539367";"n/a";"999";"N/A"
"Parkhaus Nordhaus";"Parkhaus Nordhaus";"47.4111392,8.5472868";"n/a";"60";"N/A"
"Parkhaus Nova Parking";"Parkhaus Nova Parking";"47.3802935,8.5063857";"n/a";"222";"N/A"
"Parkhaus Octavo";"Parkhaus Octavo";"47.4144744,8.5364715";"n/a";"12";"N/A"
"Parkhaus P West";"Parkhaus P West";"47.3918786,8.5112937";"n/a";"58";"N/A"
"Parkhaus Park Hyatt";"Parkhaus Park Hyatt";"47.3665566,8.5362841";"n/a";"65";"N/A"
"Parkhaus Parkside";"Parkhaus Parkside";"47.4125541,8.5394715";"n/a";"0";"N/A"
"Parkhaus Pfingstweid";"Parkhaus Pfingstweid";"47.3873939,8.5186872";"n/a";"76";"N/A"
"Parkhaus Hauptbahnhof";"Parkhaus Hauptbahnhof";"47.3814752,8.5376774";"n/a";"0";"closed "
"Parkhaus Stampfenbach";"Parkhaus Stampfenbach";"47.386307,8.5387783";"n/a";"48";"N/A"
"Parkhaus Talgarten";"Parkhaus Talgarten";"47.3722829,8.5357135";"n/a";"0";"N/A"
"Parkhaus Uni Irchel";"Parkhaus Uni Irchel";"47.3975656,8.5465028";"n/a";"449";"N/A"
"Parkhaus Urania";"Parkhaus Urania";"47.3742756,8.5408791";"n/a";"93";"N/A"
"Parkhaus Utoquai";"Parkhaus Utoquai";"47.3618144,8.5486971";"n/a";"29";"N/A"
"Parkhaus Züri 11 Shopping";"Parkhaus Zuri 11 Shopping";"47.4108601,8.5454392";"n/a";"20";"N/A"
"Parkhaus Zürichhorn";"Parkhaus Zurichhorn";"47.3560377,8.553554";"n/a";"14";"N/A"
"Parkplatz Bienen";"Parkplatz Bienen";"47.3832507,8.5060936";"n/a";"49";"N/A"
"Parkplatz Eisfeld";"Parkplatz Eisfeld";"47.4155768,8.5525873";"n/a";"3";"N/A"
"Parkhaus Hardau";"Parkplatz Hardau II";"47.3813116,8.5100878";"n/a";"146";"N/A"
"Parkplatz Stadthof";"Parkplatz Stadthof 11";"47.4108068,8.5577767";"n/a";"149";"N/A"
